name,time,Capabilities,IfRepeater,RSSI,RX-Errors,RX-KBytes,RX-Packets,RX-Phyrate,RX_bitRate,State,TX-Errors,TX-KBytes,TX-Packets,TX-Phyrate,TX_bitRate,apmac,deviceaddress,interface
ap-station_last4,2019-05-02T00:12:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-57,0,708,5073,176,2304.53,14,0,9298,8972,325,5429.33,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:12:01+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,403,150,0,14,0,1258,2075,150,2837.87,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:12:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,165,970,433,0,14,0,969,2394,433,0,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:12:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,726,5235,325,8820.27,14,0,9670,9266,293,199597,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:12:46+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-52,0,94,813,867,22.4,14,0,1276,1805,867,52.2667,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:12:46+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,404,150,0,14,0,1263,2086,150,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:13:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,729,5244,234,1200.53,14,0,9677,9283,293,3864,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:13:01+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,94,813,867,0,14,0,1281,1817,867,2803.73,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:13:01+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,404,150,0,14,0,1269,2098,135,2837.87,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:13:16+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,165,971,433,0,14,0,974,2407,390,0,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:13:16+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,729,5247,263,121.6,14,0,9677,9284,390,69.3333,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:13:16+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,94,813,867,0,14,0,1281,1817,867,0,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:13:16+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,404,150,0,14,0,1269,2098,135,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:13:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,167,982,433,1123.73,14,0,981,2425,433,775.467,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:13:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,730,5258,293,57.6,14,0,9683,9304,293,48,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:13:46+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,94,813,867,0,14,0,1286,1827,780,0,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:13:46+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,404,150,0,14,0,1274,2108,150,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:14:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,733,5268,88,1955.73,14,0,9692,9323,260,4701.87,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:14:01+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,94,813,867,0,14,0,1291,1838,867,2758.93,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:14:01+02:00," N 1X1 SGI20 SGI40",0,-53,0,36,405,150,22.4,14,0,1279,2120,150,2845.33,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:14:16+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,167,982,433,0,14,0,986,2437,433,37.3333,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:14:16+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-64,0,735,5279,263,784.533,14,0,9692,9327,293,204.267,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:14:16+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-52,0,94,814,867,22.4,14,0,1291,1840,867,97.0667,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:14:16+02:00," N 1X1 SGI20 SGI40",0,-54,0,36,405,150,0,14,0,1279,2121,150,37.3333,A491B16F74AD,DEF3,ap1
